config_sequence,performance_ratio,score
"[0, 1, 1, 1, 51204, 668, 648, 2611, 5, 777, 4385]",0.4538289827342718,9962.0
"[0, 0, 0, 0, 41437, 874, 215, 5262, 2, 1049, 3879]",0.339802286911758,7459.0
"[1, 1, 1, 0, 31449, 743, 617, 5117, 4, 1168, 2116]",0.8774543300988565,19261.0
"[1, 1, 1, 1, 116146, 476, 336, 2885, 0, 969, 2539]",1.0080178579563572,22127.0
"[0, 0, 0, 1, 116238, 776, 521, 4927, 1, 1216, 3130]",0.36877590998132204,8095.0
"[0, 0, 1, 0, 40952, 755, 412, 2211, 6, 1758, 6738]",0.43114208919866975,9464.0
"[1, 1, 0, 1, 50911, 815, 213, 5848, 3, 1447, 2788]",1.0189513006241173,22367.0
"[1, 1, 0, 1, 100411, 808, 736, 4691, 3, 528, 4963]",0.96719967199672,21231.0
"[1, 0, 0, 1, 81188, 518, 690, 4048, 8, 1599, 7621]",1.4194341943419435,31158.0
"[0, 1, 0, 0, 79320, 603, 231, 2939, 1, 1260, 8002]",0.3922372557058904,8610.0
"[1, 0, 0, 1, 69327, 401, 597, 4159, 3, 1841, 4031]",1.414286365085873,31045.0
"[0, 1, 0, 0, 116938, 587, 734, 5843, 7, 1658, 5819]",0.3526946380574917,7742.0
"[1, 1, 1, 1, 52478, 490, 517, 2308, 8, 1207, 2352]",1.0006377841556193,21965.0
"[1, 1, 1, 1, 78491, 454, 337, 4990, 7, 530, 4865]",1.0239624618468406,22477.0
"[0, 0, 1, 0, 39310, 685, 346, 5024, 7, 668, 5410]",0.33114664479978134,7269.0
"[1, 1, 0, 1, 53222, 661, 764, 5897, 4, 494, 7455]",0.9922554781103367,21781.0
"[0, 0, 1, 1, 84753, 606, 430, 2367, 0, 1587, 7901]",0.4628490729351738,10160.0
"[0, 0, 1, 0, 75888, 337, 538, 4781, 3, 653, 2883]",0.3517379618240627,7721.0
"[0, 1, 1, 0, 78785, 771, 650, 1944, 5, 573, 8108]",0.4051296068516241,8893.0
"[1, 0, 1, 1, 47578, 253, 668, 4378, 4, 1056, 4750]",1.3965650767618787,30656.0
"[1, 0, 0, 0, 77544, 741, 754, 5488, 8, 1436, 3625]",0.9851942963874083,21626.0
"[0, 0, 1, 0, 90836, 420, 326, 1540, 8, 1636, 4267]",0.4726436153250421,10375.0
"[1, 1, 0, 1, 30063, 865, 519, 1605, 8, 1103, 8114]",0.999179991799918,21933.0
"[1, 0, 1, 1, 52846, 733, 542, 1610, 5, 707, 6755]",1.1739784064507313,25770.0
"[0, 1, 0, 1, 95868, 551, 663, 2797, 2, 1632, 5918]",0.4358343583435834,9567.0
"[1, 1, 0, 0, 41099, 361, 552, 5616, 4, 1264, 2981]",0.7830622750671952,17189.0
"[0, 1, 0, 0, 90598, 454, 255, 1855, 7, 1028, 6028]",0.4556056671677828,10001.0
"[1, 1, 1, 0, 91552, 828, 712, 4520, 7, 1141, 2726]",0.8613730581750262,18908.0
"[0, 1, 0, 0, 47448, 286, 738, 2289, 8, 819, 7974]",0.41911530226413374,9200.0
"[0, 1, 1, 1, 76253, 720, 378, 3281, 3, 492, 2165]",0.43004874493189377,9440.0
"[0, 1, 0, 1, 77647, 823, 504, 4716, 1, 790, 4611]",0.3767937679376794,8271.0
"[0, 1, 0, 0, 59168, 524, 322, 4913, 0, 1682, 3479]",0.34850348503485035,7650.0
"[1, 1, 0, 0, 90002, 586, 562, 5865, 0, 1019, 6241]",0.8726253929205958,19155.0
"[0, 1, 0, 1, 55047, 750, 300, 5735, 4, 1361, 6123]",0.3795271286046194,8331.0
"[0, 0, 0, 0, 89063, 241, 525, 3141, 7, 1301, 7641]",0.38708942644982003,8497.0
"[0, 1, 0, 1, 52560, 355, 302, 5333, 6, 756, 3883]",0.37037037037037035,8130.0
"[1, 0, 0, 1, 64545, 777, 505, 4102, 5, 1674, 7659]",1.4194341943419435,31158.0
"[0, 1, 0, 1, 99026, 320, 729, 3515, 2, 740, 5199]",0.3846749578606897,8444.0
"[0, 0, 1, 1, 63789, 451, 480, 1677, 8, 588, 4539]",0.5208874310965332,11434.0
"[0, 1, 1, 0, 97133, 321, 202, 3244, 7, 1104, 2313]",0.3828982734271787,8405.0
"[1, 0, 0, 0, 106336, 822, 653, 4945, 2, 700, 7466]",1.1695139173613958,25672.0
"[0, 1, 1, 0, 31382, 835, 221, 3645, 1, 1292, 4083]",0.3639469728030614,7989.0
"[0, 1, 1, 0, 76609, 875, 262, 5470, 7, 1892, 5710]",0.3490046011571227,7661.0
"[0, 0, 0, 0, 83745, 629, 292, 3435, 3, 895, 6069]",0.349642385312742,7675.0
"[1, 0, 0, 0, 114880, 630, 604, 2506, 2, 550, 4521]",0.8898455651223179,19533.0
"[1, 1, 1, 1, 56423, 582, 284, 4979, 5, 861, 5640]",0.9998177759555373,21947.0
"[0, 0, 0, 0, 59713, 262, 545, 5271, 8, 819, 3690]",0.33934672680060135,7449.0
"[0, 0, 0, 1, 84662, 776, 539, 4955, 3, 495, 5673]",0.36699922554781106,8056.0
"[1, 0, 1, 1, 82005, 558, 562, 4885, 0, 526, 7136]",1.394469500250558,30610.0
"[1, 0, 0, 0, 118640, 311, 334, 1744, 5, 873, 7210]",0.990979909799098,21753.0
